A|неопределенный артикль
REPORTER|репортер
REPORTING|Сообщение -ing
REPOSE|полагаться, доверяться
REPRESENT|изображать, представлять
REPRESENTATION|изображение
REPRESENTATIVE|представитель
REPROACH|упрек, осуждение, упрекать
REPRODUCE|воспроизводить
REPROOF|порицание, выговор (не reprove)
REPROVE|порицать, делать выговор
REPTILE|пресмыкающееся
REPUBLIC|республика
REPULSE|отражать (врага), отвергать, отталкивать, отпор
REPUTATION|репутация
REQUEST|просьба
REQUESTED|Требуемый
REQUESTS|просьбы (от request)
REQUIRE|требовать
REQUIRED|потребованный (не demanded) 
REQUIREMENT|требование
REQUIRES|Требует
RESCUE|спасение, спасать
RESEARCH|исследование
RESEMBLANCE|сходство
RESEMBLE|походить
RESENT|обижаться, возмущаться *e-
RESENTMENT|возмущение
RESERVATION|предварительный заказ, резервирование
RESERVE|заказывать
RESERVED|заказал, заказанный (от reserve)
RESERVOIR|резервуар
RESIDE|жить, проживать (r-)
RESIDENCE|резиденция
RESIDENT|постоянный житель
RESIDENTIAL|жилой
RESIGN|уходить в отставку
RESIGNATION|отставка, заявление об отставке, покорность, смирение
RESIGNED|покорный, безропотный **s-
RESIST|сопротивляться
RESISTANCE|сопротивление
RESOLUTION|решение, резолюция, решимость
RESOLVE|решать
RESOLVED|решился, принял решение 
RESORT|обращение, обращаться
RESOURCE|ресурс, средство
RESOURCES|Ресурсы
RESPECT|уважение, уважать
RESPECTABLE|почтенный, порядочный
RESPECTED|Уважаемый
RESPECTFUL|почтительный
RESPECTIVE|соответственный
RESPECTIVELY|соответственно
RESPOND|отвечать
RESPONDED|Отвечал
RESPONSE|реакция, ответ (не reaction)
RESPONSIBILITY|ответственность
RESPONSIBLE|ответственный
RESPONSIVE|отзывчивый
REST|остальное, остальные, остаток
RESTART|Переначало
RESTAURANT|ресторан
RESTED|отдыхал (от rest)
RESTLESS|беспокойный, неугомонный
RESTORATION|реставрация
RESTORE|восстанавливать
RESTRAIN|сдерживать
RESTRICT|ограничивать
RESTRICTION|ограничение
RESTRICTIONS|ограничения (от restriction)
RESULT|результат
RESUME|итог, сводка, возобновлять, подводить итог
RESUMED|Возобновленный
RETAIN|удерживать
RETAINED|Сохраненный
RETIRE|уходить, удаляться, оставлять должность
RETIRED|отставной
RETIREMENT|отставка
RETIRING|скромный r-
RETORTED|Парировал
RETREAT|отступать, отступление, убежище
RETURN|вернуть(ся), возвращение
REV|оборот
REVEAL|обнаруживать r-
REVEALED|Показанный
REVENGE|месть, мстить
REVENUE|доход
REVERENCE|почтение, благоговение (не deference)
REVERSE|противоположное, обратное r-
REVERSION|Возвращение (не returning)
REVERT|возвращаться (не return)
REVIEW|обзор, смотр (не survey)
REVISION|пересмотр
REVIVE|оживать
REVOLUTION|революция
REVOLUTIONARY|революционный, революционер
REVOLVE|вращаться
REWARD|награда
REX|Рекс
RHINOCEROS|носорог
RHYME|рифма, рифмовать
RHYTHM|ритм
RIB|ребро (не hip)
RIBBON|лента
RICE|рис
RICH|богатый
RICHARD|Ричард
RICHES|богатство, изобилие
RICK|стог, складывать в стог
RID|освобождать
RIDDLE|загадка (не enigma)
RIDE|езда, прогулка (не пешая), ехать (на поезде, велосипеде и т.п.)
RIDER|наездник, всадник
RIDGE|горный хребет, гребень (горы и т.п.) (не crest)
RIDICULOUS|нелепый, смехотворный, смешной
RIDING|еду (от ride), верховая езда
RIFLE|ружье, винтовка
RIFT|трещина, щель, ущелье
RIG|снаряжение, экипаж
RIGHT|правильный, правый
RIGHTLY|справедливо r-
RIGID|жесткий (не tough)
RIGOROUS|суровый (не severely) r-
RIM|ободок
RIND|кожура, кора, корка (не pool)
RING|кольцо, звон, звонок, звенеть, звонить
RINGS|Кольца
RIP|рвать
RIPE|спелый
RIPEN|зреть, созревать
RISE|подниматься, восходить, подъем, повышение
RISEN|Повышенный
RISING|возрастающий
RISK|риск, рисковать
RIVAL|соперник, соперничающий
RIVER|река
RIVERS|Реки
RIVULET|ручеек, речушка
ROAD|дорога
ROAM|бродить, скитаться
ROAR|реветь, орать, хохотать
ROAST|жареный
ROB|грабить, обворовывать
ROBBER|грабитель
ROBBERY|грабеж
ROBES|Одежды
ROBIN|малиновка
ROBOT|Робот
ROBOTS|Роботы
ROCHESTER|Рочестер
ROCK|скала
ROCKY|скалистый 
ROD|прут, жезл, удочка
RODE|ехать (2 форма) 
ROGUE|плут, мошенник (не valet)
ROLE|роль
ROLL|вращение, список, булочка, вращаться, катить(ся)
ROLLBACK|Обратная перемотка
ROLLER|ролик
ROMAN|Католик
ROMANCE|романтика, романтическая история
ROMANTIC|романтичный
ROME|Рим
RON|Рон
ROOF|крыша
ROOM|комната
ROOMS|комнаты (от room)
ROOT|корень
ROPE|канат
ROPES|Веревки
ROSE|роза
ROSY|розовый, румяный (не pink)
ROT|вздор, нелепость
ROTTEN|гнилой, отвратительный
ROUGE|румяна, губная помада
ROUGH|грубый
ROUND|круг, цикл, полный, круглый
ROUNDED|Округленный
ROUSE|будить, побуждать (первая буква НЕ a)
ROUSED|Разбуженный (не awoken)
ROUTE|маршрут, путь, направлять
ROVER|скиталец, странник
ROW|грести
ROWING|гребля, выговор
ROYAL|королевский (не queen)
RPM|Оборот в минуту
RUB|тереть, стирать, трение
RUBBER|резина
RUBBING|Протирка (не от слова wash) -ing
RUBBISH|ерунда, мусор (не garbage)
RUBY|рубиновый
RUDDER|руль
RUDE|грубый, резкий, невоспитанный
RUDIMENTARY|Элементарный(рудиментарный)
RUEFUL|унылый
RUFFLE|ерошить (волосы), рябить (воду)
RUG|ковер
RUIN|гибель
RUINS|Руины
RULE|правило, принцип, норма, управлять, решать
RULER|линейка, правитель
RULES|правила (от rule)
RULING|правящий (-ing)
RUM|ром, странный
RUMOUR|слух, молва
RUN|бегать, двигаться, бег, движение, направление
RUNG|ступенька, спица колеса
RUNNER|бегун
RUNNERS|Бегуны
RUNNING|пробег, бегущий
RUNS|Пробега
RUSE|уловка, хитрость
RUSH|устремляться, бросаться, мчаться
RUSSELL|Русселл
RUSSIA|Россия
RUSSIAN|русский
RUST|ржавчина, ржаветь
RUSTLE|шелест, шорох, шелестеть, шуршать r-
RUSTY|заржавленный, порыжевший
RUT|колея, привычка
RUTH|жалость, сочувствие, участие, сострадание *u- 
RYE|рожь
SABOTAGE|саботаж, саботировать
SACK|мешок
SACRED|священный
SACRIFICE|жертва
SAD|печальный
SADDLE|седло, седлать
SADLY|печально
SADNESS|печаль
SAFE|сейф, безопасный, надежный
SAFEGUARD|гарантия s-
SAFETY|безопасность
SAID|сказал (от say)
SAIL|парус, плыть
SAILOR|матрос
SAINT|святой
SAKE|ради, для
SALAD|салат, винегрет
SALARY|оклад
SALE|распродажа
SALLY|поездка, прогулка
SALMON|лосось
SALT|соль, соленый, солить
SALTS|Соли
SALUTE|приветствовать, салют
SALVAGE|спасать 
SALVATION|спасение
SAM|Сэм
SAME|тот же, так(ой) же
SAMPLE|образец
SANCTION|санкция
SAND|песок
SANDWICH|бутерброд
SANDWICHES|Бутерброды
SANDY|песчаный
SANG|пел, спел (от sing)
SANGUINE|живой, жизнерадостный, румяный (не spirited)
SANK|тонул 
SANTOS|Сантус
SAP|сок (растений); подрывать
SAT|сидел (от sit)
SATISFACTION|удовлетворение
SATISFACTORILY|удовлетворительно
SATISFACTORY|удовлетворительный
SATISFY|удовлетворять
SATURDAY|суббота
SAUCE|соус, приправа, поливать соусом
SAUCEPAN|кастрюля
SAUCER|блюдце
SAUSAGE|колбаса, сосиска
SAVAGE|дикарь
SAVAGELY|свирепо, дико s-
SAVE|спасать, хранить, экономить
SAVED|спасал (от save)
SAVING|экономия -ing
SAVIOUR|спаситель
SAVOURY|вкусный, пикантный, приятный
SAW|видел, смотрел (от see)
SAY|сказать, говорить
SAYING|говорящий (от say)
SCAFFOLD|эшафот
SCALE|масштаб
SCAN|Просмотр
SCAR|шрам, рубец
SCARCE|редкий, едва (не barely, merely, hardly)
SCARCELY|едва sc-
SCARE|испуг
SCARED|напуганный 
SCARF|шарф
SCARLET|алый
SCATTER|разбрасывать, рассеивать
SCATTERED|Разбросанный, раскиданный
SCENE|действие, картина, сцена
SCENERY|декорации
SCENES|сцены, эпизоды (от scene)
SCENT|запах, духи, след, почуять, нюхать (не smell)
SCHEDULE|расписание, таблица, планировать
SCHEME|проект
SCHEMES|Схемы
SCHOLAR|ученый
SCHOLARS|Ученые
SCHOOL|школа, обучать
SCHOOLBOY|школьник
SCHOOLMASTER|учитель
SCIENCE|наука, умение
SCIENTIFIC|научный
SCIENTIST|ученый
SCISSORS|ножницы
SCOLD|бранить, ругать
SCOPE|пределы
SCORE|счет, отметка, выигрывать
SCORN|презрение, презирать
SCORNFUL|презрительный
SCOTCH|надрез, метка, уничтожать
SCOUNDREL|негодяй
SCOUT|разведчик
SCOWLED|Хмурился (не от слова frown)
SCRAMBLE|карабкаться
SCRAMBLED|Боролся(взбирался)
SCRAP|клочок, кусочек, отрывок
SCRATCH|царапать
SCRATCHED|Поцарапанный
SCREAM|вскрикнуть, зареветь, визг, вопль (не shriek)
SCREEN|экран, перегородка, прикрывать
SCREW|привинчивать, завинчивать, принуждать, винт
SCRIBBLE|каракули, писать неразборчиво
SCRIPT|сценарий
SCRIPTS|Подлинники(сценарии)
SCRUB|тереть
SCUBA|Акваланг
SCUFFLE|драка, потасовка
SCULPTURE|скульптура
SEA|море, океан
SEAL|печать, запечатывать
SEAM|шов
SEAMAN|моряк *e-
SEARCH|искать, обыскивать, поиск, обыск
SEASICK|страдающий морской болезнью
SEASIDE|морское побережье
SEASON|время года, сезон, созревать
SEAT|место, сиденье, сажать, усаживать
SEATED|Помещенный
SEATS|места (от seat)
SEAWEED|Морская водоросль
SECOND|второй, помощник, секунда
SECONDARY|средний, второстепенный
SECONDLY|Во-вторых
SECRET|секрет
SECRETARY|секретарь
SECRETION|Укрывательство
SECTION|отделение, делить на части s-
SECURE|страховать s-
SECURITY|безопасность
SEDATE|спокойный
SEE|(у)видеть, встретиться
SEED|семя, семена
SEEDLING|Рассада
SEEDLINGS|Рассада
SEEDS|Семена
SEEING|видящий (от see)
SEEK|искать (не find)
SEEM|казаться
SEEMING|видимый, мнимый (не visible)
SEEN|увиденный (от see)
SEGMENT|Доля (не portion, section)
SEIZE|хватать -e
SEIZED|захваченный 
SELDOM|редко
SELECT|выбирать, сортировать, избранный
SELECTED|Отобранный
SELECTION|отбор
SELF|сам, себя
SELFISH|эгоистичный
SELL|продавать, торговать
SELLER|торговец (не trader)
SELLING|продажа
SEMI|Полу
SEMICOLON|точка с запятой
SEND|отправлять, посылать
SENIOR|старший s-
SENSATION|чувство s-
SENSE|чувство, здравый смысл, чувствовать
SENSES|Чувства
SENSIBLE|разумный
SENSITIVE|чувствительный
SENSITIVENESS|Чувствительность
SENT|отправил, послал, отправленный, посланный (от send)
SENTENCE|предложение s-
SENTIMENT|настроение
SENTIMENTS|Чувства
SEPARATE|отдельный
SEPARATED|Отделенный
SEPARATION|отделение, разделение
SEPTEMBER|сентябрь
SEQUEL|продолжение, результат
SEQUENCE|последовательность
SERGEANT|сержант
SERIES|серия
SERIOUS|серьезный
SERIOUSLY|серьезно
SERMON|проповедь
SERPENT|змея, змей
SERVANT|слуга
SERVE|служить, обслуживать, подавать
SERVER|Прислуга
SERVERS|Прислуга
SERVICE|сервис, обслуживание
SERVICES|Услуги
SERVING|порция s-ing
SESSION|заседание (не sitting)
SET|класть, ставить, помещать, комплект
SETS|декорации (от set)
SETTING|окружение -ing
SETTLE|поселять, устраивать, оплачивать
SETTLEMENT|поселение
SEVEN|семь
SEVENTEEN|семнадцать
SEVENTH|седьмой
SEVENTY|семьдесят
SEVERAL|несколько
SEVERE|суровый, жестокий (s-)
SEVERELY|строго (*e-)
SEW|шить
SEX|пол
SEXUAL|сексуальный
SHABBY|потрепанный, поношенный
SHADE|оттенок, тень, затенять
SHADES|оттенки (от shade)
SHADOW|тень, покров, заслонять
SHADY|тенистый, сомнительный, темный
SHAFT|древко, ручка, рукоятка, вал (тех.)
SHAGGY|лохматый
SHAKE|пожать (руки), дрожать, трясти
SHALL|модальный глагол долженствования
SHALLOW|мелкий, поверхностный, (от)мель
SHAM|притворство, обман
SHAME|стыд, стыдить, стыдиться
SHAPE|форма
SHAPED|Форменный
SHAPELESS|бесформенный
SHARE|разделять, доля, часть
SHARK|акула
SHARP|точно, ровно, резкий, крутой, плутовать
SHARPEN|точить
SHARPLY|резко
SHAVE|(по)бриться, бритье, подстригать
SHAVING|бритье (-ing)
SHAWL|платок, шаль
SHE|она
SHED|сарай
SHEEP|овца, овцы
SHEER|настоящий
SHEET|простыня, лист, пласт
SHELF|полка
SHELL|раковина, скорлупа
SHELLS|Снаряды(раковины)
SHELTER|приют, убежище
SHELVES|Полки
SHEPHERD|пастух
SHERIFF|Шериф
SHIELD|щит
SHIFT|смена, перемещать
SHILLING|шиллинг
SHINDY|шум, скандал
SHINE|сиять, светить
SHINY|Солнечный (не sunny)
SHIP|корабль, пароход, грузить, перевозить
SHIPWRECK|кораблекрушение
SHIRT|рубашка, блузка
SHIVER|дрожать, дрожь, трепет s-
SHOCK|удар s-
SHOCKING|потрясающий
SHOE|ботинок, туфля
SHOEMAKER|сапожник
SHOES|обувь, туфли (от shoe)
SHONE|сиял, блестел 
SHOOK|трёс 
SHOOT|стрелять, застрелить
SHOOTING|Стрельба
SHOP|магазин, мастерская
SHOPPING|делать покупки
SHOPS|магазины (от shop)
SHORE|берег
SHORT|короткий, слабый, внезапно
SHORTER|короче (от short)
SHORTEST|ближайший, самый короткий (от short)
SHORTHAND|стенография
SHORTLY|вскоре
SHORTS|трусики
SHOT|попытка, выстрел
SHOULD|следует (от shall)
SHOULDER|плечо, толкать
SHOUT|кричать, крик
SHOVE|толкать(ся), пихать, толчок
SHOVED|Пихал (не popped)
SHOVEL|лопата
SHOW|показывать, демонстрировать, выставка, зрелище
SHOWED|показал (от show)
SHOWER|душ, ливень
SHOWN|Показанным
SHREWD|проницательный, ловкий (делец)
SHRIEK|кричать, вскрикнуть, пронзительный крик (не scream)
SHRILL|резкий, пронзительный
SHRIMP|креветка
SHRINE|сохранять
SHRINK|отпрянуть, садиться (о материи)
SHRUB|куст
SHRUBS|кусты (не bushes) 
SHRUG|пожимать плечами
SHRUGGED|Пожал
SHUDDER|дрожь, вздрагивать; содрогаться
SHUFFLE|шаркать
SHUT|закрывать, запирать, замолчать
SHUTDOWN|Закрытие
SHUTTER|ставень, затвор
SHY|застенчивый, робкий
SIBILANT|шипящий звук
SICK|больной
SICKLY|болезненный, нездоровый, тошнотворный
SICKNESS|болезнь, заболевание
SIDE|сторона, бок, край
SIDENOTE|Заметка на полях
SIDEWAYS|боком, косвенно
SIERRA|горная цепь
SIEVE|решето, сито
SIGH|вздыхать, вздох
SIGHT|зрелище, вид, заметить, разглядеть
SIGHTS|достопримечательности
SIGN|подписывать(ся), знак, вывеска
SIGNAL|сигнал, сигнализировать
SIGNATURE|подпись
SIGNED|Подписанный
SIGNIFICANCE|значение
SIGNIFICANT|значительный s-
SIGNIFICANTLY|значительно
SIGNIFY|значить, означать, иметь значение
SIGNS|знаки, вывески (от sign)
SILAS|Силас
SILENCE|молчание, тишина
SILENT|молчаливый, бесшумный
SILK|шелковый, шелк
SILL|подоконник
SILLY|глупый
SILVER|серебро, серебряный
SIMILAR|похожий
SIMILARLY|также
SIMPLE|простой, однозначный
SIMPLICITY|Простота (-t*)
SIMPLY|просто, абсолютно
SIMULATOR|симулянт
SIMULTANEOUS|одновременный
SIMULTANEOUSLY|одновременно
SIN|грех, (со)грешить
SINCE|с тех пор как
SINCERE|искренний (-e)
SINCERELY|Искренне (не earnestly)
SING|пение, петь
SINGING|Пение
SINGLE|один, одинокий s-
SINGULAR|странный, необычный, единственное число (грам.)
SINISTER|зловещий s-
SINK|тонуть
SINKING|погружение
SIR|сэр
SIRE|Родитель
SISTER|сестра
SIT|сидеть, заседать, годиться
SITE|местоположение
SITTING|заседание
SITUATED|расположенный
SITUATION|положение
SIX|шесть
SIXPENCE|сумма в 6 пенсов
SIXTEEN|шестнадцать
SIXTH|шестой
SIXTY|шестьдесят
SIZE|размер, величина, измерить
SKELETON|скелет, остов
SKETCH|эскиз
SKI|ходить на лыжах
SKIING|катание на лыжах
SKILFUL|квалифицированный, умелый, ловкий
SKILL|мастерство
SKILLED|квалифицированный, умелый, ловкий
SKIM|просматривать, скользить
SKIN|кожа
SKINNER|погонщик 
SKINNY|худой, тощий, кожа да кости 
SKINS|Кожи
SKIP|пропускать (часто бывает при устано 
SKIRT|юбка
SKULL|череп
SKY|небо
SLAB|плита
SLACK|ленивый, слабый, ослаблять, утихать
SLACKEN|ослаблять, ослабевать
SLAM|хлопать, хлопнуть -m
SLAMMED|Хлопнул
SLANG|жаргон
SLANT|наклонный
SLAP|хлопать
SLAUGHTER|резня, убой, резать, убивать
SLAVE|раб
SLAVES|рабы 
SLEDGE|ехать на санях
SLEEK|гладкий, приглаживать
SLEEP|спать, сон
SLEEPY|сонный, сонливый (не asleep)
SLEEVE|рукав
SLEIGH|сани, салазки
SLENDER|тонкий, стройный
SLEPT|спал (от sleep)
SLICE|ломоть
SLID|скользить (не slip) 
SLIDE|скользить
SLIGHT|проявление пренебрежительного равнодушия;неуважение, пренебрежение, игнорирование
SLIGHTEST|малейший (от slight)
SLIGHTLY|слегка
SLIM|стройный
SLIME|слизь, липкая грязь, ил; комбинация (белье)
SLIP|скольжение, скользить -p
SLIPPERY|скользкий
SLOGAN|лозунг
SLOPE|склон, наклон, гора для катания
SLOW|медленный, замедлять
SLOWER|медленнее (от slow)
SLOWLY|медленно
SLUMBER|сон, дремота, дремать
SLY|хитрый
SMACK|рыболовное судно
SMALL|маленький, тонкий, скромный
SMALLEST|Самый маленький
SMART|изящный (не grace)
SMARTLY|ловко
SMASH|бить, разбивать
SMASHED|Разбитый
SMEAR|масляное пятно, пачкать, мазать
SMELL|запах
SMELT|плавить
SMILE|улыбаться, улыбка
SMILES|Улыбки
SMOKE|курить, курение, дым
SMOKED|курил (от smoke)
SMOKER|курящий, вагон для курящих
SMOKING|курение
SMOOTH|гладкий
SMOOTHLY|гладко 
SNACK|закуска, часть, доля
SNAKE|змея
SNAP|щелкать (snap)
SNAPPED|Сфотографированный
SNARE|ловушка
SNARL|рычать, огрызаться; рычание, ворчание
SNATCH|схватить
SNEER|усмешка, насмешка; насмехаться, издеваться
SNEEZE|чихать, чиханье
SNIFF|фыркать, сопеть
SNIFFED|Фыркал
SNIFFING|Фыркающий
SNIGGER|хихикать, хихиканье s-
SNOOP|подсматривать 
SNORE|храпеть, храп
SNORTED|Фыркал (не от слова sniff)
SNOW|снег, падать (о снеге)
SNOWMAN|снежная баба
SNUFF|Нюхнуть
SO|так, таким образом, итак
SOAP|мыло
SOB|рыдание
SOBBING|Рыдание
SOBER|трезвый
SOCIABLE|общительный
SOCIAL|общественный
SOCIETY|общество
SOCK|носок
SOCKET|патрон (эл. лампочки), глазная впадина
SOCKS|носки (от sock)
SOFA|диван
SOFT|мягкий, тихий (не calm)
SOFTEN|смягчать(ся)
SOFTENED|Смягченный
SOFTLY|мягко, нежно
SOFTWARE|Программное обеспечение
SOIL|почва
SOLD|продавал, проданный (от sell)
SOLDER|паять
SOLDIER|солдат
SOLE|подошва, подметка; ставить подметку
SOLELY|Исключительно
SOLEMN|серьезный, торжественный
SOLEMNLY|торжественно
SOLID|твердый
SOLITARY|одинокий, уединенный
SOLITUDE|одиночество, уединение
SOLUTION|решение, разрешение
SOLVE|(раз)решать
SOME|немного, несколько
SOMEHOW|как-нибудь, так или иначе 
SOMETIMES|иногда
SOMEWHAT|что-то, отчасти 
SOMEWHERE|где-нибудь 
SON|сын
SONG|песня
SONS|сыновья (от son)
SOON|скоро, рано
SOONER|охотнее (от soon)
SOOT|сажа
SOOTHE|успокаивать, утешать, облегчать (боль)
SOOTHING|Успокаивающий -ing
SOPHIA|София
SOPHISTICATED|сложный
SORE|больной, воспаленный (не sick)
SORROW|печаль
SORROWFUL|печальный, скорбный
SORRY|сожалеющий, печальный, унылый
SORT|сорт, род, вид, сортировать
SORTING|Сортировка
SOUGHT|Искавший(разысканный)
SOUL|душа, воплощение
SOULS|Души
SOUND|звук, звучать, играть
SOUNDING|звучащий
SOUNDS|звучит (от sound)
SOUP|суп
SOUR|раздражительный, сердитый, кислый
SOURCE|источник
SOUTH|юг
SOUTHERN|южный
SOUVENIR|сувенир
SOUVENIRS|сувениры (от souvenir)
SOVEREIGN|суверенный
SOVIET|Советский
SOW|сеять
SPACE|пространство, место, космос
SPACIOUS|просторный, обширный
SPADE|лопата, заступ
SPARE|уделять, лишний, запасный
SPARED|Сэкономленный
SPARK|искра
SPARKLE|сверкать, искриться
SPARKLER|Бриллиант
SPARROW|воробей
SPASMODIC|судорожный
SPAT|размолвка, звонкий удар
SPEAK|говорить, убеждать
SPEAKER|оратор
SPEAKING|говоря(щий) (от speak)
SPEAKS|Говорит
SPEAR|дротик, копье
SPECIAL|специальный, особенный
SPECIALIST|специалист
SPECIALITY|фирменное блюдо
SPECIALIZE|специализировать
SPECIALLY|особенно
SPECIES|порода
SPECIFIC|специфический
SPECIFICALLY|специфически
SPECIFICATION|Спецификация
SPECIFIED|Указанный
SPECIFY|точно определять, устанавливать, предписывать; детально излагать
SPECIMEN|образец
SPECIMENS|Экземпляры, образцы
SPECTACLE|зрелище
SPECTACLES|очки
SPECTACULAR|производящий глубокое впечатление; впечатляющий; эффектный
SPECULATION|размышление
SPEECH|речь
SPEECHLESS|безмолвный
SPEED|скорость, ускорять, спешить
SPEEDILY|быстро
SPEEDOMETER|спидометр
SPEEDY|быстрый, скорый
SPELL|писать или произносить (слово) по буквам
SPELLING|орфография, правописание
SPEND|тратить
SPENDS|проводит (время) (от spend)
SPENT|проводил, тратил, проведенный, потраченный (от spend)
SPHERE|сфера
SPIDER|паук
SPIDERS|Пауки
SPIKE|острие 
SPILL|проливать(ся), рассыпать(ся)
SPIN|прясть, крутить(ся)
SPINE|позвоночный столб
SPIRIT|дух
SPIRITED|живой, бойкий
SPIRITS|души 
SPIT|плеваться, фыркать
SPITE|злость
SPITEFUL|злобный
SPLASH|брызгать(ся), забрызгать, плескать(ся); плеск, брызги
SPLENDID|замечательно
SPLINTER|щепка, осколок, заноза
SPLIT|раскалывать
SPOIL|портить, баловать
SPOKE|говорил, говоривший (от speak)
SPOKEN|сказанный 
SPONSORSHIP|попечительство
SPOON|ложка
SPOONS|ложки (от spoon)
SPORT|спорт, заниматься спортом
SPORTING|спортивный (-ing)
SPORTS|спорт, спортивные соревнования (от sport)
SPORTSMAN|спортсмен
SPOT|пятно
SPOTLESS|безупречный
SPOTS|Пятна(места)
SPOTTED|Определенный *p-
SPOUT|носик (посуды), желоб
SPRANG|Прыгал (от слова spring)
SPRAY|брызги, обрызгивать
SPREAD|распространяться
SPREADING|Распространение -ing
SPREE|веселье, шалость *p-
SPRING|весна
SPROUT|пускать ростки; отросток, побег
SPRUCE|Ель
SPRUNG|Прыгал (от слова spring)
SPUR|стимул
SPURT|бить струей, делать внезапное усилие
SPY|шпион, шпионить
SQUAD|команда
SQUADRON|эскадрон, эскадра (мор.)
SQUALL|писк, визг
SQUARE|площадь, квадратный
SQUEAL|Визг -a*
SQUEEZE|выжимать, сжимать, давить, впихивать, сжатие, давка
SQUEEZED|Сжатый
SQUINT|косоглазие, косить (о глазах)
SQUIRREL|белка
ST|C-
STABILITY|устойчивость
STABLE|конюшня
STACK|стог, куча, груда
STADIUM|стадион
STAFF|штат, персонал, штаб
STAGE|сцена, эстрада, ставить
STAGGER|шатание, шатать
STAGGERED|Пораженный *t-
STAIN|пятно, пятнать, пачкать
STAIR|лестница
STAIRCASE|лестница
STAKE|ставка, делать ставку
STALE|черствый, затхлый
STALK|стебель
STALL|партер
STALLS|кресла в партере ( от stall)
STAMMER|заикаться, запинаться
STAMP|марка, печать, штемпелевать
STAMPS|марки (от stamp)
STAND|остановка, позиция, стенд, киоск, стоять, останавливаться
STANDARD|стандарт
STANDING|репутация, вес, положение в обществе, стоящий (-ing)
STANDSTILL|застой (не stagnation)
STAR|звезда
STARE|пристальный взгляд
STARED|пристальный 
STARLING|скворец
START|начинать, отправляться s-
STARTER|стартер
STARTLE|испугать, сильно удивить
STARTS|Запуски
STARVE|умирать от голода
STATE|государство, состояние
STATED|зафиксированный, высказанный, изложенный Заявленный
STATELY|величавый, величественный
STATEMENT|утверждение, заявление
STATEMENTS|Утверждения(заявления)
STATES|Государства
STATESMAN|государственный деятель
STATION|станция, место, размещать
STATIONERY|писчебумажные принадлежности
STATISTICS|статистика
STATUE|статуя, памятник
STATURE|рост *t-
STATUS|статус
STATUTE|закон, устав
STAY|оставаться, жить (временно)
STAYED|остался (от stay)
STAYING|остающийся, живущий (от stay)
STEADILY|неуклонно
STEADY|прочный
STEAK|бифштекс
STEAL|(с)воровать
STEALING|Кража
STEAM|пар
STEEL|сталь
STEEP|крутой (не sharp)
STEER|править (рулём)
STEM|стержень
STEMS|Стебли
STEP|шаг, шагать (step)
STEPFATHER|отчим
STEPHEN|Стивен
STERILE|бесплодный 
STERILITY|Бесплодие
STERN|строгий
STERNLY|строго 
STEVE|Стив
STEW|тушеное мясо
STICK|палка, приставать
STICKING|торчащий, приклеенный (-ing) 
STICKS|Палки
STICKY|липкий, клейкий
STIFF|негнущийся, застывший, холодный, натянутый
STIFFEN|(о)коченеть, (о)деревенеть
STILL|все еще, однако, тихий
STIR|суета, суматоха, мешать, помешивать, волновать
STITCH|стежок, петля (в вязании), шить
STOCK|запас, снабжать (не spare, hoard)
STOCKING|чулок
STOCKINGS|чулки (от stocking)
STOCKS|Акции(запасы)
STOCKY|коренастый, низкий, приземистый 
STOLEN|украденный (от steal)
STOMACH|живот, желудок
STONE|камень
STOOL|табуретка
STOOP|наклонять(ся), нагибать(ся), сутулиться, горбиться
STOOPED|Наклоненный
STOP|остановка, перестать, остановиться
STOPPAGE|остановка, задержка
STOPPED|остановились (от stop)
STOPPER|пробка, затычка
STOPS|остановки (от stop)
STORAGE|хранение *t-
STORE|магазин, имущество, запасать, снабжать
STORED|Запасенный
STOREY|этаж
STORIES|истории, рассказы (от story)
STORK|аист
STORM|буря, взрыв (не blast)
STORMY|бурный
STORY|рассказ, история
STOUT|тучный, дородный
STOVE|печь, плита
STRAIGHT|прямо, сразу, прямой, достоверный s-
STRAIGHTEN|выпрямлять(ся)
STRAIGHTENED|Выправляемый
STRAIGHTFORWARD|прямой
STRAIN|натягивать, напрягать(ся), напряжение
STRAIT|узкий, пролив, затруднительное материальное положение, нужда
STRANGE|странный
STRANGELY|странным образом
STRANGER|незнакомец, иностранец
STRANGERS|Незнакомцы
STRANGLE|задушить
STRAP|ремень, стягивать ремнем
STRATEGY|стратегия
STRAW|пустяк, мелочь
STRAWBERRIES|клубника
STRAWBERRY|земляника
STRAY|сбиваться с пути, заблудившийся
STREAM|ручей, поток
STREET|улица
STRENGTH|численность, сила, прочность
STRENGTHEN|усиливать, укреплять
STRETCH|растягивать, вытягиваться
STRETCHED|растянутый 
STRETCHING|Протяжение
STRICT|точный
STRICTLY|строго *t-
STRIKE|ударять, забастовка
STRIKING|бьющий, ударяющий (от strike)
STRING|вереница, ряд, струна, связывать
STRINGS|Вереницы(нити) (не threads)
STRIP|полоса
STRIPED|полосатый
STRIPES|Полосы
STRODE|походка, большой шаг (прошедшее время) 
STROKE|удар, гладить *t
STROLL|прогулка, гулять
STRONG|сильный
STRONGEST|Самый сильный
STRONGHOLD|крепость, оплот
STRONGLY|решительно (первая буква НЕ "d")
STRUCK|забастовка, удар (прошедшее время) 
STRUCTURE|структура
STRUGGLE|бороться, борьба
STRUGGLING|Борьба
STUBBORN|упрямый
